title,modified_time,kategori,channel,merchant,lokasi,benefit,markdown_benefit,markdown_syarat_dan_ketentuan,syarat_dan_ketentuan,start,end,URL_Name,calltype,Article_Type,record_type
Food & Beverages,2024-03-27 22:37:23,Food & Beverages,Seluruh Kartu Kredit BRI (kecuali Corporate Card),Kopi Dibawah Tangga,Berlaku di seluruh outlet Kopi Di bawah Tangga,Beli 1 Gratis 1 Kopi Kampung (Rp20.000 dapat 2),Beli 1 Gratis 1 Kopi Kampung (Rp20.000 dapat 2),"1. Berlaku setiap Hari Kamis s.d Minggu
2. Tidak berlaku kelipatan
3. Berlaku untuk 1 Kartu/Transaksi/Hari","1. Berlaku setiap Hari Kamis s.d Minggu
2. Tidak berlaku kelipatan
3. Berlaku untuk 1 Kartu/Transaksi/Hari",2023-11-01 00:00:00,2024-11-30 00:00:00,PM-0000001,No Call Type,Promotion,Promotion
Food & Beverages,2024-03-27 22:37:23,Food & Beverages,"1. Kartu Debit BRI Prioritas, Private & Bisnis Premium 
2. Kartu Kredit BRI World Access dan Infinite, kecuali Corporate Card",Putu Made,Berlaku di Putu Made PIK Avenue dan Senayan Park,Diskon 35% maks. Rp350.000,Diskon 35% maks. Rp350.000,"1. Min. transaksi Rp350.000
2. Berlaku setiap hari","1. Min. transaksi Rp350.000
2. Berlaku setiap hari",2024-01-01 00:00:00,2024-06-30 00:00:00,PM-0000002,No Call Type,Promotion,Promotion
Food & Beverages,2024-03-27 22:37:23,Food & Beverages,"1. Kartu Debit BRI Prioritas dan Debit BRI Private
2. Kartu Kredit BRI Platinum, World Access, dan Infinite di EDC Bank BRI",Thai I Love You,Seluruh Indonesia,Diskon 20% maks. Rp100.000,Diskon 20% maks. Rp100.000,"1. Minimum pembelian Rp. 350.000 (sebelum tax & service)
2. Promo berlaku setiap Senin - Jumat
3. 1 kartu/transaksi/hari (tidak berlaku spit bill)
4. Khusus untuk dine-in/take away (tidak berlaku delivery)","1. Minimum pembelian Rp. 350.000 (sebelum tax & service)
2. Promo berlaku setiap Senin - Jumat
3. 1 kartu/transaksi/hari (tidak berlaku spit bill)
4. Khusus untuk dine-in/take away (tidak berlaku delivery)",2023-05-31 00:00:00,2024-04-30 00:00:00,PM-0000003,No Call Type,Promotion,Promotion
Groceries,2024-06-14 10:45:05,Groceries,"Kartu Kredit,Kartu Debit","TheFoodhall, Daily Foodhall dan Daily Supermarket",Seluruh Indonesia,Diskon 10% atau maks. Rp50.000,Diskon 10% atau maks. Rp50.000,"1. Minimal transaksi Rp500.000
2. Maksimal diskon Rp100.000 untuk kartu BRI prioritas, BRI private dan kartu kredit	
3. Premium dengan minimal transaksi Rp1.000.000
4. Berlaku setiap hari senin s/d jumat	
5. 1 kartu berlaku untuk 1 trx/kartu/hari	
6. Tidak berlaku kelipatan","1. Minimal transaksi Rp500.000
2. Maksimal diskon Rp100.000 untuk kartu BRI prioritas, BRI private dan kartu kredit	
3. Premium dengan minimal transaksi Rp1.000.000
4. Berlaku setiap hari senin s/d jumat	
5. 1 kartu berlaku untuk 1 trx/kartu/hari	
6. Tidak berlaku kelipatan",2023-08-01 00:00:00,2024-07-31 00:00:00,PM-0000004,No Call Type,Promotion,Promotion
Travel & Hotel,2024-06-14 14:50:52,Travel & Hotel,"Kartu Kredit,Kartu Debit,BRImo",Grand Hyatt,Jakarta,Diskon hingga 20%,Diskon hingga 20%,"1. Untuk paket kamar dengan sarapan dan pijat badan 1 jam untuk 2 orang
2. Kamar Grand Deluxe City View yang telah direnovasi dengan sarapan untuk 2 orang dewasa dan 2 anak di bawah 13 tahun, serta pijat badan selama 1 jam untuk dua orang dengan harga Rp 4.400.000 net
3. Kamar Grand Deluxe Bundaran View yang telah direnovasi dengan sarapan untuk 2 orang dewasa dan 2 anak di bawah 13 tahun, serta pijat badan selama 1 jam untuk 2 orang dengan harga Rp 4.500.000 net
4. Kamar Deluxe Family City View yang telah direnovasi dengan sarapan untuk 2 orang dewasa dan 2 anak di bawah 13 tahun, serta pijat badan selama 1 jam untuk 2 orang dengan harga Rp 4.900.000 net
5. Kamar Capital Suite City View yang telah direnovasi dengan sarapan untuk 2 orang dewasa dan 2 anak di bawah 13 tahun, serta pijat badan selama 1 jam untuk 2 orang dengan harga Rp9.500.000 net","1. Untuk paket kamar dengan sarapan dan pijat badan 1 jam untuk 2 orang
2. Kamar Grand Deluxe City View yang telah direnovasi dengan sarapan untuk 2 orang dewasa dan 2 anak di bawah 13 tahun, serta pijat badan selama 1 jam untuk dua orang dengan harga Rp 4.400.000 net
3. Kamar Grand Deluxe Bundaran View yang telah direnovasi dengan sarapan untuk 2 orang dewasa dan 2 anak di bawah 13 tahun, serta pijat badan selama 1 jam untuk 2 orang dengan harga Rp 4.500.000 net
4. Kamar Deluxe Family City View yang telah direnovasi dengan sarapan untuk 2 orang dewasa dan 2 anak di bawah 13 tahun, serta pijat badan selama 1 jam untuk 2 orang dengan harga Rp 4.900.000 net
5. Kamar Capital Suite City View yang telah direnovasi dengan sarapan untuk 2 orang dewasa dan 2 anak di bawah 13 tahun, serta pijat badan selama 1 jam untuk 2 orang dengan harga Rp9.500.000 net",2024-06-14 00:00:00,2024-12-31 00:00:00,PM-0000005,No Call Type,Promotion,Promotion
Food & Beverages,2024-06-14 15:41:58,Food & Beverages,Kartu Kredit,Gandy Bakery,-,Diskon 20%,Diskon 20%,"1. Minimal transaksi Rp50.000
2. Maksimal transaksi Rp1.000.000
3. Promo tidak dapat digabungkan dengan promo lain
4. Berlaku untuk seluruh Kartu Kredit BRI, termasuk Co-Branding, kecuali Corporate Card","1. Minimal transaksi Rp50.000
2. Maksimal transaksi Rp1.000.000
3. Promo tidak dapat digabungkan dengan promo lain
4. Berlaku untuk seluruh Kartu Kredit BRI, termasuk Co-Branding, kecuali Corporate Card",2024-06-14 00:00:00,2024-07-31 00:00:00,PM-0000006,No Call Type,Promotion,Promotion
Food & Beverages,2024-06-14 16:35:42,Food & Beverages,"Kartu Kredit,Kartu Debit,QRIS,BRImo",JCO Reguler,-,Buy 1 Get 1 (1 lusin donut free 1 Box Coffee Drip),Buy 1 Get 1 (1 lusin donut free 1 Box Coffee Drip),"1. Berlaku setiap senin-jumat
2. 1x transaksi/akun/hari
3. Tidak berlaku kelipatan
4. Promo tidak dapat digabung dengan promo lain","1. Berlaku setiap senin-jumat
2. 1x transaksi/akun/hari
3. Tidak berlaku kelipatan
4. Promo tidak dapat digabung dengan promo lain",2024-06-14 00:00:00,2024-06-30 00:00:00,PM-0000007,No Call Type,Promotion,Promotion
Food & Beverages,2024-06-16 13:21:37,Food & Beverages,"Kartu Kredit,Kartu Debit",Penang Bistro,Seluruh outlet Penang Bistro,Diskon 20%,Diskon 20%,"1. Minimal transaksi Rp750.000
2. Maksimal diskon Rp150.000
3. Berlaku Kartu Debit Britama Bisnis, Kartu Debit Prioritas, Kartu Debit Private dan Kartu Kredit Platinum, JCB Platinum, World Access, Infinite
4. Berlaku hari kamis-minggu
5. Berlaku di seluruh outlet Penang Bistro","1. Minimal transaksi Rp750.000
2. Maksimal diskon Rp150.000
3. Berlaku Kartu Debit Britama Bisnis, Kartu Debit Prioritas, Kartu Debit Private dan Kartu Kredit Platinum, JCB Platinum, World Access, Infinite
4. Berlaku hari kamis-minggu
5. Berlaku di seluruh outlet Penang Bistro",2024-06-16 00:00:00,2024-12-31 00:00:00,PM-0000008,No Call Type,Promotion,Promotion
Lifestyle & Entertainment,2024-06-16 13:30:05,Lifestyle & Entertainment,"Kartu Kredit,Kartu Debit",Beauty+,Seluruh outlet Beauty+,Diskon 10%,Diskon 10%,"1. Minimal transaksi Rp1.000.000
2. Maksimal diskon Rp300.000
3. Berlaku untuk Debit BRI berlogo mastercard dan seluruh Kartu Kredit BRI (kecuali corporate card)
4. Berlaku diseluruh outlet beauty +
5. Tidak berlaku kelipatan
6. Hanya berlaku setiap hari senin, selasa, rabu dan kamis
7. Berlaku untuk 1 kali transaksi/hari/nasabah","1. Minimal transaksi Rp1.000.000
2. Maksimal diskon Rp300.000
3. Berlaku untuk Debit BRI berlogo mastercard dan seluruh Kartu Kredit BRI (kecuali corporate card)
4. Berlaku diseluruh outlet beauty +
5. Tidak berlaku kelipatan
6. Hanya berlaku setiap hari senin, selasa, rabu dan kamis
7. Berlaku untuk 1 kali transaksi/hari/nasabah",2024-06-16 00:00:00,2024-06-30 00:00:00,PM-0000009,No Call Type,Promotion,Promotion
Lifestyle & Entertainment,2024-06-16 13:32:36,Lifestyle & Entertainment,Kartu Debit,Dan+Dan,Seluruh outlet Dan+Dan,Diskon Rp10.000,Diskon Rp10.000,"1. Minimal transaksi Rp150.000
2. Berlaku untuk Debit BRI Mastercard
3. Berlaku di seluruh outlet Dan+Dan
4. Berlaku setiap jumat - minggu
5. Berlaku untuk 1 kali transaksi/hari/nasabah","1. Minimal transaksi Rp150.000
2. Berlaku untuk Debit BRI Mastercard
3. Berlaku di seluruh outlet Dan+Dan
4. Berlaku setiap jumat - minggu
5. Berlaku untuk 1 kali transaksi/hari/nasabah",2024-06-16 00:00:00,2024-07-31 00:00:00,PM-0000010,No Call Type,Promotion,Promotion
